full_name,draft_pick,college,name
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
Kenneth Apple Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,Southwest Missouri State University,New York Knicks
Philip Douglas Jackson,2.0,University of North Dakota,Los Angeles Lakers
Drew Edward Gordon,0.0,UCLA,Philadelphia 76ers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Lavoy Allen,50.0,Temple University,Philadelphia 76ers
Magic Johnson,1.0,Michigan State,Los Angeles Lakers
Stanley M. Noszka,0.0,,Boston Celtics
Isiah Thomas,2.0,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Trent Tucker,6.0,University of Minnesota,Chicago Bulls
Miles Julian Simon,0.0,University of Arizona,Phoenix Suns
Guy William Rodgers,1.0,Temple University,Milwaukee Bucks
Vernon Maxwell,2.0,University of Florida,Dallas Mavericks
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Calvin Ramsey,13.0,NYU,New York Knicks
Derrick Chievous,16.0,University of Missouri,Cleveland Cavaliers
Rik Smits,2.0,Marist College,Indiana Pacers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Harry Junior The Horse Gallatin,20.0,Northeast Missouri State Teachers College,Detroit Pistons
Darnell Hillman,8.0,San Jose State University,Golden State Warriors
Kurt Thomas,0.0,Texas Christian University,New York Knicks
Kevin Wayne Durant,2.0,University of Texas at Austin,Phoenix Suns
Aaron Williams,0.0,Xavier University,Los Angeles Clippers
Nathaniel Thomas Huffman,0.0,Central Michigan University,Toronto Raptors
Rodney Strickland,19.0,DePaul University,Houston Rockets
Lamar Brandon Stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
Steve Kerr,50.0,University of Arizona,Golden State Warriors
Gregory Clinton Foster,35.0,UTEP,Indiana Pacers
Bill Hewitt,0.0,University of Southern California,Los Angeles Lakers
Jabari Dominic Walker,57.0,Colorado,Portland Trail Blazers
Jamal Crawford,8.0,University of Michigan,Brooklyn Nets
Kermit Washington,5.0,American University,Golden State Warriors
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1.0,University of Maryland,Houston Rockets
Garfield Smith,10.0,,Boston Celtics
Dennis Schroder,17.0,,Brooklyn Nets
Monti Davis DaMon William Monti Davis,21.0,Tennessee State University,Dallas Mavericks
Eric Johnson Jones,15.0,Seton Hall University,Utah Jazz
Trayce Jackson-Davis,57.0,Indiana Hoosiers,Golden State Warriors
Andre Jamal Drummond,9.0,University of Connecticut,Philadelphia 76ers
Chavano Rainer Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
DAngelo Russell,2.0,Ohio State,Los Angeles Lakers
Joel Hans Embiid,3.0,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10.0,Fresno State,Philadelphia 76ers
Kyrie Andrew Irving,1.0,Duke University,Dallas Mavericks
Jayson Christopher Tatum,3.0,Duke University,Boston Celtics
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1.0,Kansas Jayhawks,Golden State Warriors
Ogugua OG Anunoby Jr.,23.0,Indiana University,New York Knicks
Jaylen Marselles Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Randall Holiday,17.0,UCLA,Boston Celtics
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5.0,UCLA,Miami Heat
Giannis Sina Ugo Antetokounmpo,15.0,,Milwaukee Bucks
Wardell Stephen Curry II,7.0,Davidson,Golden State Warriors
Alfred Joel Horford Reynoso,3.0,University of Florida,Boston Celtics
Kyle Forman Anderson,30.0,University of Arizona,Golden State Warriors
Erick Strickland,8.0,University of North Carolina at Chapel Hill,Houston Rockets
,1.0,,Los Angeles Lakers
,30.0,Marquette University,Miami Heat
,1.0,Louisiana State University (LSU),Boston Celtics
,13.0,null,Los Angeles Lakers
